Амарант	13.6	7.0	69.0	371
Амарантовые отруби Di&Di с гречей	Амарантовые отруби Di&Di с гречей	19.0	5.5	55.0	345
Амарантовые отруби Di&Di с ламинарией	Амарантовые отруби Di&Di с ламинарией	20.4	5.1	37.0	311
Амарантовые отруби Di&Di с топинамбуром	Амарантовые отруби Di&Di с топинамбуром	19.0	5.5	55.0	345
Булгур	Булгур	12.3	1.3	57.6	342
Булгур Yelli с белыми грибами	Булгур Yelli с белыми грибами	14.0	2.0	64.0	330
Булгур Готово! с овощами	Булгур Готово! с овощами	13.0	1.5	67.0	330
Булгур Мистраль	Булгур Мистраль	14.2	1.1	73.4	343
Булгур приготовленный	Булгур приготовленный	3.1	0.2	14.1	83
Гарнир Националь бурый рис, киноа и семена льна	Гарнир Националь бурый рис, киноа и семена льна	9.3	8.2	68.6	385
Гарнир Националь рис, киноа, тыква	Гарнир Националь рис, киноа, тыква	10.6	8.6	67.3	389
Горох Makfa дробленый в пакетиках	Горох Makfa дробленый в пакетиках	23.0	1.5	48.1	299
Горох Makfa колотый	Горох Makfa колотый	23.0	1.5	48.1	299
Горох Агро-Альянс колотый	Горох Агро-Альянс колотый	23.0	1.0	62.0	350
Горох маш Ярмарка Платинум	Горох маш Ярмарка Платинум	23.5	2.0	50.0	312
Горох Мистраль Айдахо	Горох Мистраль Айдахо	20.8	1.4	55.2	317
Горох Мистраль Орегон	Горох Мистраль Орегон	20.0	1.5	66.4	327
Горох Пассим колотый	Горох Пассим колотый	23.0	1.6	48.1	299
Горох Увелка колотый	Горох Увелка колотый	20.0	2.0	67.0	360
Готовый завтрак Nestle Kosmostars звездочки и галактики медовые	Готовый завтрак Nestle Kosmostars звездочки и галактики медовые	7.2	5.0	76.2	400
Гречка Yelli с белыми грибами	Гречка Yelli с белыми грибами	13.0	3.5	52.0	290
Гречка зелёная вареная	Гречка зелёная вареная	4.0	1.0	21.0	110
Гречка зелёная для проращивания	Гречка зелёная для проращивания	10.8	3.2	54.4	295
Гречневая каша вязкая на воде	Гречневая каша вязкая на воде	3.2	0.8	17.1	90
Гречневая каша из крупы ядрица	Гречневая каша из крупы ядрица	3.0	3.4	14.6	101
Гречневая каша на молоке	Гречневая каша на молоке	4.2	2.3	21.6	118
Гречневая каша с маслом	Гречневая каша с маслом	4.5	2.3	25.0	132
Гречневая крупа (продел)	Гречневая крупа (продел)	9.5	2.3	65.9	306
Гречневая крупа (ядрица)	Гречневая крупа (ядрица)	12.6	3.3	62.1	313
Гречневая крупа (ядрица) зелёная	Гречневая крупа (ядрица) зелёная	10.8	3.2	56.0	296
Гречневая крупа Агро-Альянс Элитная	Гречневая крупа Агро-Альянс Элитная	13.0	3.0	68.0	350
Гречневая крупа Мистраль зеленая	Гречневая крупа Мистраль зеленая	13.4	3.0	68.0	328
Гречневая крупа Мистраль ядрица	Гречневая крупа Мистраль ядрица	13.6	3.3	65.0	353
Гречневая крупа Пассим Алтайская	Гречневая крупа Пассим Алтайская	12.6	2.6	68.0	329
Гречневая манка Гарнец безглютеновая	Гречневая манка Гарнец безглютеновая	12.5	2.5	70.0	350
Гречневые хлопья	Гречневые хлопья	9.0	2.4	67.0	330
Гречневые хлопья Makfa	Гречневые хлопья Makfa	8.0	3.0	79.0	375
Гречневые хлопья Myllyn Paras	Гречневые хлопья Myllyn Paras	13.0	1.7	67.5	340
Гречневые хлопья Myllyn Paras для каши	Гречневые хлопья Myllyn Paras для каши	13.0	1.7	67.5	340
Гречневые хлопья Агро-Альянс	Гречневые хлопья Агро-Альянс	11.0	2.0	74.0	370
Гречневые хлопья Алтайская сказка	Гречневые хлопья Алтайская сказка	12.8	3.4	66.1	346
Гречневые хлопья Мистраль	Гречневые хлопья Мистраль	12.6	2.3	59.0	345
Гречневые хлопья Пассим	Гречневые хлопья Пассим	9.5	2.3	65.8	322
Каша 4-х зерновая Myllyn Paras	Каша 4-х зерновая Myllyn Paras	11.4	2.8	61.1	320
Каша 7 злаков Маtti	Каша 7 злаков Маtti	12.0	5.0	56.0	320
Киноа	Киноа	14.1	6.1	57.2	368
Киноа Мистраль	Киноа Мистраль	14.0	6.0	64.0	368
Котлеты гречневые Мистраль	Котлеты гречневые Мистраль	12.0	3.0	58.0	310
Котлеты нутовые Вкусное дело	Котлеты нутовые Вкусное дело	20.8	1.8	49.7	288
Котлеты нутовые Мистраль	Котлеты нутовые Мистраль	12.0	12.0	53.0	360
Котлеты чечевичные Вкусное дело	Котлеты чечевичные Вкусное дело	19.2	2.2	54.8	307
Крупа Увелка Дружба рис и пшено	Крупа Увелка Дружба рис и пшено	8.0	1.0	77.0	350
Кукурузная крупа	Кукурузная крупа	8.3	1.2	75.0	337
Кукурузная крупа Makfa	Кукурузная крупа Makfa	8.3	1.2	71.0	328
Кукурузная крупа Makfa в пакетиках	Кукурузная крупа Makfa в пакетиках	8.3	1.2	71.0	328
Кукурузная манка Гарнец безглютеновая	Кукурузная манка Гарнец безглютеновая	23.0	1.6	50.8	314
Кукурузные хлопья	Кукурузные хлопья	6.9	2.5	83.6	363
Кукурузные хлопья 365 дней	Кукурузные хлопья 365 дней	7.5	1.5	78.0	360
Кукурузные хлопья Алтайская сказка	Кукурузные хлопья Алтайская сказка	8.3	1.2	75.0	325
Кукурузные хлопья На здоровье Кунцево	Кукурузные хлопья На здоровье Кунцево	6.5	1.0	89.0	390
Кус-кус приготовленный	Кус-кус приготовленный	3.8	0.2	21.8	112
Кус-кус сухой	Кус-кус сухой	12.8	0.6	72.4	376
Кускус Агро-Альянс	Кускус Агро-Альянс	12.0	2.5	75.0	370
Кускус Готово! с томатами	Кускус Готово! с томатами	13.0	1.6	73.0	350
Льняная каша с кунжутом	Льняная каша с кунжутом	34.0	14.0	12.0	312
Льняные отруби Dr. Dias	Льняные отруби Dr. Dias	30.0	10.0	10.0	250
Льняные отруби Dr. Dias с семечкой	Льняные отруби Dr. Dias с семечкой	30.0	10.0	10.0	250
Манная каша на воде	Манная каша на воде	2.5	0.2	16.8	80
Манная каша на молоке	Манная каша на молоке	3.0	3.2	15.3	98
Манная крупа	Манная крупа	10.3	1.0	67.4	328
Манная крупа Makfa	Манная крупа Makfa	10.3	1.0	70.6	333
Манная крупа Myllyn Paras	Манная крупа Myllyn Paras	12.0	2.0	69.0	348
Манная крупа Агро-Альянс	Манная крупа Агро-Альянс	10.0	1.0	69.0	330
Манная крупа Мистраль Семолина	Манная крупа Мистраль Семолина	14.1	1.6	69.7	348
Манная крупа с отрубями БИО Черный хлеб	Манная крупа с отрубями БИО Черный хлеб	13.1	4.6	61.5	340
Мюсли AXA хрустящие медовые с фруктами и орехами	Мюсли AXA хрустящие медовые с фруктами и орехами	7.8	13.1	56.7	376
Мюсли Horeca Select с фруктами и орехами	Мюсли Horeca Select с фруктами и орехами	11.4	7.8	56.7	363
Мюсли Matti Банан и Шоколад	Мюсли Matti Банан и Шоколад	7.0	13.0	62.0	390
Мюсли Matti Ежевика и Малина	Мюсли Matti Ежевика и Малина	7.5	13.0	62.0	390
Мюсли Matti Орех и Яблоко	Мюсли Matti Орех и Яблоко	7.0	13.0	59.0	380
Мюсли Vitalis фруктовые	7.8	4.6	61.1	317
Мюсли Vitalis шоколадные	Мюсли Vitalis шоколадные	10.0	13.0	62.0	400
Мюсли Бон	Мюсли Бон	8.8	5.1	62.6	333
