Шоколад	5.4	35.3	56.5	544
Шоколад Alpen Gold Апельсин и Бренди	Шоколад Alpen Gold Апельсин и Бренди	5.7	28.5	58.6	516
Шоколад Alpen Gold Арахис и Кукурузные хлопья	Шоколад Alpen Gold Арахис и Кукурузные хлопья	7.0	27.7	59.7	518
Шоколад Alpen Gold Капучино	Шоколад Alpen Gold Капучино	5.4	31.6	57.5	539
Шоколад Alpen Gold Клубника с Йогуртом	Шоколад Alpen Gold Клубника с Йогуртом	4.8	33.5	57.4	553
Шоколад Alpen Gold Миндаль и кокос	Шоколад Alpen Gold Миндаль и кокос	6.3	32.6	56.3	545
Шоколад Alpen Gold Молочный	Шоколад Alpen Gold Молочный	5.7	27.9	61.4	522
Шоколад Alpen Gold Печенье и Изюм	Шоколад Alpen Gold Печенье и Изюм	5.6	25.2	62.5	502
Шоколад Alpen Gold Солёный арахис и крекер	Шоколад Alpen Gold Солёный арахис и крекер	7.7	29.0	53.0	525
Шоколад Alpen Gold Темный	Шоколад Alpen Gold Темный	5.7	28.5	58.7	517
Шоколад Alpen Gold Трюфель	Шоколад Alpen Gold Трюфель	5.3	33.5	55.3	546
Шоколад Alpen Gold Фундук	Шоколад Alpen Gold Фундук	6.4	30.3	57.9	532
Шоколад Alpen Gold Фундук и Изюм	Шоколад Alpen Gold Фундук и Изюм	5.7	25.3	59.6	493
Шоколад Alpen Gold Фундук и Хрустящая Вафля	Шоколад Alpen Gold Фундук и Хрустящая Вафля	6.8	30.6	55.0	525
Шоколад Alpen Gold Черника с Йогуртом	Шоколад Alpen Gold Черника с Йогуртом	4.8	33.7	57.2	553
Шоколад Bounty	Шоколад Bounty	3.1	25.3	60.0	485
Шоколад Bounty Trio	Шоколад Bounty Trio	3.9	24.6	57.9	471
Шоколад Bounty Райский Ананас	Шоколад Bounty Райский Ананас	3.2	25.6	59.0	486
Шоколад Bounty Райское Манго	Шоколад Bounty Райское Манго	3.0	25.5	59.5	485
Шоколад Dove молочный с дробленым фундуком	Шоколад Dove молочный с дробленым фундуком	7.5	34.3	53.0	555
Шоколад Hershey’s Cookies’n’Creme	Шоколад Hershey’s Cookies’n’Creme	8.0	27.0	62.0	520
Шоколад Kinder	Шоколад Kinder	8.7	34.7	53.5	561
Шоколад Kinder Bueno	Шоколад Kinder Bueno	9.3	37.5	48.2	568
