Абсент	0.0	0.0	8.8	171
Бренди	Бренди	0.0	0.0	0.5	225
Бурбон	Бурбон	0.0	0.0	0.4	235
Вермут	Вермут	0.0	0.0	15.9	158
Вермут Cinzano Bianco белый	Вермут Cinzano Bianco белый	0.0	0.0	18.0	155
Вермут Cinzano Rose розовый	Вермут Cinzano Rose розовый	0.0	0.0	14.5	141
Вермут Martini	Вермут Martini	0.0	0.0	17.0	145
Вермут Martini Bianco белый	Вермут Martini Bianco белый	0.0	0.0	17.0	145
Вермут Martini Extra Dry сухой	Вермут Martini Extra Dry сухой	0.0	0.0	2.5	110
Вермут Martini Rose розовый	Вермут Martini Rose розовый	0.0	0.0	16.0	140
Вермут Martini Rosso красный	Вермут Martini Rosso красный	0.0	0.0	15.0	138
Вермут Perlino Bianco белый	Вермут Perlino Bianco белый	0.0	0.0	14.0	139
Вермут Perlino Rosso красный	Вермут Perlino Rosso красный	0.0	0.0	14.0	139
Вино Asti Mondoro белое полусладкое игристое	Вино Asti Mondoro белое полусладкое игристое	0.0	0.0	9.0	78
Вино Riunite D'Oro белое полусладкое игристое	Вино Riunite D'Oro белое полусладкое игристое	0.0	0.0	6.0	69
Вино Riunite Lambrusco Emilia красное полусладкое игристое	Вино Riunite Lambrusco Emilia красное полусладкое игристое	0.0	0.0	6.0	69
Вино Riunite Lambrusco Rose розовое полусладкое игристое	Вино Riunite Lambrusco Rose розовое полусладкое игристое	0.0	0.0	6.0	69
Вино белое десертное 16%	Вино белое десертное 16%	0.5	0.0	16.0	153
Вино белое Мускат	Вино белое Мускат	0.0	0.0	5.0	82
Вино белое Рислинг	Вино белое Рислинг	0.0	0.0	4.0	80
Вино белое Совиньон	Вино белое Совиньон	0.0	0.0	2.0	81
Вино белое столовое 11%	Вино белое столовое 11%	0.2	0.0	0.2	65
Вино белое сухое	Вино белое сухое	0.1	0.0	0.6	66
Вино белое Херес	Вино белое Херес	0.0	0.0	3.0	126
Вино красное Божоле Нуво	Вино красное Божоле Нуво	2.5	0.0	0.0	95
Вино красное Бургундское	Вино красное Бургундское	0.0	0.0	4.0	86
Вино красное десертное	Вино красное десертное	0.5	0.0	20.0	172
Вино красное Кагор	Вино красное Кагор	0.0	0.0	16.0	147
Вино красное Киндзмараули	Вино красное Киндзмараули	0.5	0.0	20.0	172
Вино красное Кьянти	Вино красное Кьянти	0.1	0.0	2.7	84
Вино красное столовое 12%	Вино красное столовое 12%	0.3	0.0	0.2	71
Вино красное сухое	Вино красное сухое	0.2	0.0	0.3	68
Вино красное Хванчкара	Вино красное Хванчкара	0.1	0.0	3.0	83
Вино медовое	Вино медовое	0.0	0.0	21.3	71
Виски	Виски	0.0	0.0	0.4	235
Водка	Водка	0.0	0.0	0.1	235
Водка анисовая	Водка анисовая	0.1	0.1	0.5	225
Глинтвейн August Weinxof	Глинтвейн August Weinxof	0.0	0.0	7.5	85
Глинтвейн St Lorenz	Глинтвейн St Lorenz	0.0	0.0	8.0	80
Грог	Грог	0.0	0.0	0.0	220
Джин	Джин	0.0	0.0	0.0	220
Джин-тоник	Джин-тоник	0.0	0.0	6.7	78
Коктейль Кровавая Мэри	Коктейль Кровавая Мэри	0.8	0.3	4.8	60
Коктейль Мохито	Коктейль Мохито	0.0	0.0	17.0	74
Коктейль Пина Колада	Коктейль Пина Колада	0.4	1.8	22.4	174
Коктейль Эгг-ног	Коктейль Эгг-ног	5.5	0.1	0.4	27
Коньяк	Коньяк	0.0	0.0	0.1	239
Ликёр Amaretto	Ликёр Amaretto	0.0	0.0	35.0	280
Ликёр Amarula	Ликёр Amarula	3.0	13.0	25.0	327
Ликёр Baileys	Ликёр Baileys	3.0	13.0	25.0	327
Ликёр Becherovka	Ликёр Becherovka	0.0	0.0	6.4	248
Ликёр Blue Curacao	Ликёр Blue Curacao	0.0	0.0	46.0	236
Ликёр Brogans	Ликёр Brogans	2.7	7.3	32.7	241
Ликёр Campari	Ликёр Campari	0.0	0.0	12.0	112
Ликёр Cointreau	Ликёр Cointreau	0.0	0.0	20.0	197
Ликёр Don Amaretto Milano	Ликёр Don Amaretto Milano	0.0	0.0	35.0	280
Ликёр Drambuie	Ликёр Drambuie	0.0	0.0	40.0	299
Ликёр Frangelico	Ликёр Frangelico	0.0	0.7	19.0	63
Ликёр Galliano	Ликёр Galliano	0.0	0.0	6.4	248
Ликер Grand Marnier	Ликер Grand Marnier	0.0	0.0	20.0	197
Ликёр Irish Mist	Ликёр Irish Mist	0.0	0.0	6.4	248
