Акула катран	19.9	7.0	0.0	142
Акульи плавники	Акульи плавники	21.0	4.8	0.0	130
Амур белый	Амур белый	18.6	5.3	0.0	134
Амур чёрный	Амур чёрный	17.5	2.0	0.0	88
Анчоус атлантический	Анчоус атлантический	20.1	6.1	0.0	135
Анчоусная паста	Анчоусная паста	26.0	16.0	4.0	280
Анчоусы консервированные	Анчоусы консервированные	20.1	6.1	0.0	135
Аргентина	Аргентина	17.6	2.0	0.0	88
Барабулька (султанка)	Барабулька (султанка)	19.4	3.8	0.0	117
Белоглазка	Белоглазка	17.5	2.0	0.0	88
Белорыбица	Белорыбица	17.5	2.0	0.0	88
Белуга бланшированная	Белуга бланшированная	23.3	15.6	0.0	234
Белуга свежая	Белуга свежая	21.0	0.7	0.0	147
Белуга сушеная	Белуга сушеная	69.9	5.3	0.0	327
Бельдюга	Бельдюга	17.5	2.0	0.0	88
Берикс	Берикс	20.3	0.8	0.0	88
Бестер	Бестер	21.0	0.7	0.0	147
Бопс (Полосатик)	Бопс (Полосатик)	15.3	1.5	0.0	79
Бротола	Бротола	19.4	1.6	0.0	92
Бычки в томатном соусе	Бычки в томатном соусе	17.5	2.0	0.0	88
Бычок	Бычок	17.5	2.0	0.0	88
Венерка	Венерка	14.7	1.0	3.6	86
Визига	Визига	1.2	0.1	6.0	28
Вобла вяленая	Вобла вяленая	46.4	5.5	0.0	235
Вобла копчёная	Вобла копчёная	31.1	6.3	0.0	181
Вобла свежая	Вобла свежая	18.0	2.8	0.0	97
Водоросли бурые	Водоросли бурые	1.7	0.6	8.3	43
Водоросли зелёные	Водоросли зелёные	1.5	0.0	5.0	25
Водоросли красные	Водоросли красные	1.5	0.0	5.0	25
Водоросль вакаме	Водоросль вакаме	3.0	0.6	8.6	45
Водоросль далс	Водоросль далс	1.5	0.0	5.0	25
Водоросль ирландский мох (карраген)	Водоросль ирландский мох (карраген)	1.5	0.2	11.0	49
Водоросль кантен	Водоросль кантен	0.5	0.0	6.3	26
Водоросль комбу	Водоросль комбу	8.3	8.3	10.0	77
Водоросль лиму	Водоросль лиму	1.7	0.2	4.3	25
Водоросль нори	Водоросль нори	46.1	0.1	41.0	349
Водоросль порфира	Водоросль порфира	5.8	0.3	4.8	35
Водоросль спирулина	Водоросль спирулина	4.2	2.5	9.9	79
Водоросль ульва	Водоросль ульва	1.9	0.0	3.8	25
Водоросль уми будо	Водоросль уми будо	1.5	0.4	4.8	25
Водоросль фукус	Водоросль фукус	3.0	0.6	8.6	35
Гладкоголов	Гладкоголов	8.0	1.9	0.0	49
Голавль	Голавль	17.8	5.6	0.0	127
Голец	Голец	22.4	5.7	0.0	135
Горбуша горячего копчения	Горбуша горячего копчения	23.2	7.6	0.0	161
Горбуша жареная в кляре	Горбуша жареная в кляре	17.1	16.4	15.2	281
Горбуша запеченная в шубе	Горбуша запеченная в шубе	13.2	13.1	3.2	184
Горбуша маринованная	Горбуша маринованная	20.9	5.8	0.0	136
Горбуша натуральная Балт-Фиш Плюс	Горбуша натуральная Балт-Фиш Плюс	15.0	1.5	0.0	75
Горбуша натуральная Русский рыбный мир	Горбуша натуральная Русский рыбный мир	21.0	6.0	0.0	138
Горбуша отварная	Горбуша отварная	22.9	7.8	0.0	168
Горбуша свежая	Горбуша свежая	20.5	6.5	0.0	142
Горбуша солёная	Горбуша солёная	22.1	9.0	0.0	169
Горбыль	Горбыль	22.5	6.3	0.0	153
Групер (мероу)	Групер (мероу)	24.8	1.3	0.0	118
Густера	Густера	15.1	2.4	0.0	97
Дорадо	Дорадо	18.0	3.0	0.0	96
Ёрш	Ёрш	17.5	2.0	0.0	88
Желтохвост (лакедра)	Желтохвост (лакедра)	21.0	16.0	0.0	240
Желтый полосатик	Желтый полосатик	17.5	2.0	0.0	88
Желтый полосатик сушеный	Желтый полосатик сушеный	50.0	7.5	0.0	267
Жерех	Жерех	18.8	2.6	0.0	98
Зубан	Зубан	18.8	6.3	0.0	131
Зубатка жареная	22.2	11.5	4.1	209
Зубатка запеченная	7.4	8.8	6.8	137
Зубатка отварная	15.5	5.8	0.0	114
Зубатка пёстрая	Зубатка пёстрая	19.6	5.3	0.0	126
Зубатка полосатая	Зубатка полосатая	16.0	5.0	0.0	109
Икра	Икра	36.0	10.2	0.0	123
Икра Балтийский берег красная имитированная слабосоленая лососевая	Икра Балтийский берег красная имитированная слабосоленая лососевая	2.0	9.0	1.0	85
Икра Балтийский берег черная имитированная слабосоленая	Икра Балтийский берег черная имитированная слабосоленая	0.0	1.0	1.0	13
Икра белужья зернистая	Икра белужья зернистая	27.2	14.2	0.0	237
Икра виноградных улиток	Икра виноградных улиток	16.1	1.4	2.0	90
Икра горбуши зернистая	Икра горбуши зернистая	31.2	11.7	0.0	230
Икра жёлтая (частиковая)	Икра жёлтая (частиковая)	17.5	2.0	0.0	88
Икра из морских водорослей Здоровье (красная)	Икра из морских водорослей Здоровье (красная)	0.4	2.0	2.5	30
Икра из морских водорослей Здоровье (черная)	Икра из морских водорослей Здоровье (черная)	0.4	2.5	4.0	40
Икра искусственная	Икра искусственная	1.0	5.0	2.6	64
Икра кеты зернистая	Икра кеты зернистая	31.6	13.8	0.0	251
Икра консервированная	Икра консервированная	19.0	11.0	1.0	179
Икра летучей рыбы (тобико)	13.0	3.1	10.0	92
Икра лещевая пробойная	Икра лещевая пробойная	24.7	4.8	0.0	142
Икра лососевая зернистая	Икра лососевая зернистая	32.0	15.0	0.0	263
Икра масаго	Икра масаго	22.0	6.0	1.0	140
Икра минтаевая пробойная	Икра минтаевая пробойная	28.4	1.9	0.0	131
Икра минтаевая пробойная соленая	Икра минтаевая пробойная соленая	23.0	4.0	0.0	128
Икра мойвы Санта Бремор классическая	Икра мойвы Санта Бремор классическая	8.1	38.6	0.0	365
Икра мойвы Санта Бремор подкопчённая	Икра мойвы Санта Бремор подкопчённая	9.3	38.3	0.0	382
Икра мойвы Санта Бремор с копчёным лососем	Икра мойвы Санта Бремор с копчёным лососем	8.8	36.9	0.0	367
Икра мойвы Санта Бремор с креветкой	Икра мойвы Санта Бремор с креветкой	8.1	37.9	0.0	374
Икра мойвы Санта Бремор тресковая	Икра мойвы Санта Бремор тресковая	8.4	37.9	0.0	375
Икра моллюсков	Икра моллюсков	13.8	4.3	2.5	104
Икра морских ежей	Икра морских ежей	13.8	4.3	2.5	104
Икра осетровая зернистая	Икра осетровая зернистая	28.0	9.7	0.0	203
Икра осетровая паюсная	Икра осетровая паюсная	36.0	10.2	0.0	236
Икра осетровая пробойная	Икра осетровая пробойная	36.0	10.2	0.0	235
Икра палтуса	Икра палтуса	20.0	3.0	0.0	107
Икра сазана	Икра сазана	18.5	12.5	1.0	179
Икра севрюжья зернистая	Икра севрюжья зернистая	28.4	11.9	0.0	221
Икра сельди	Икра сельди	31.6	10.3	0.0	222
Икра судака	Икра судака	17.5	2.0	0.0	88
Икра толстолобика	Икра толстолобика	8.8	6.2	12.9	137
