Аньолотти	10.0	1.1	71.5	344
Баветте	Баветте	11.0	1.3	70.5	351
Блинчики Ермолино с печенью Мамины	Блинчики Ермолино с печенью Мамины	8.0	15.0	33.0	299
Блинчики Морозко сладкие с вишней	Блинчики Морозко сладкие с вишней	3.5	4.5	32.0	180
Блинчики Морозко сладкие с творогом	Блинчики Морозко сладкие с творогом	7.2	6.0	27.4	192
Блинчики Морозко сытные с мясом	Блинчики Морозко сытные с мясом	7.2	10.7	23.3	218
Блины	Блины	6.1	12.3	26.0	233
Блины с ветчиной	Блины с ветчиной	8.9	13.5	33.9	292
Блины с ветчиной и сыром	Блины с ветчиной и сыром	14.3	20.2	35.3	382
Блины с грибами	Блины с грибами	6.7	9.9	21.0	218
Блины с красной икрой	Блины с красной икрой	12.7	15.2	33.7	324
Блины с маслом	Блины с маслом	8.0	15.2	40.6	332
Блины с мёдом	Блины с мёдом	7.2	13.5	50.4	350
Блины с сёмгой	Блины с сёмгой	11.2	14.9	33.8	313
Блины с сыром	Блины с сыром	11.4	18.3	34.3	348
Блины со сгущеным молоком	Блины со сгущеным молоком	8.1	12.4	41.7	324
Блины со сметаной	Блины со сметаной	7.1	16.3	34.3	311
Бораки	Бораки	13.7	12.0	30.7	277
Букатини	Букатини	12.0	1.2	71.0	350
Вареники от Ильиной с вишней	Вареники от Ильиной с вишней	7.6	0.0	18.7	105
Вареники от Ильиной с картофелем	Вареники от Ильиной с картофелем	4.4	3.7	18.5	125
Вареники от Ильиной с клубникой	Вареники от Ильиной с клубникой	7.9	0.0	17.6	205
Вареники от Ильиной с творогом	Вареники от Ильиной с творогом	12.0	4.2	17.0	154
Вареники от Ильиной с черникой	Вареники от Ильиной с черникой	7.6	0.0	18.7	105
Вареники Хвалынские с картошкой и грибами	Вареники Хвалынские с картошкой и грибами	6.0	3.6	32.0	184
Вермишель Lorenzo суповая	Вермишель Lorenzo суповая	10.0	1.0	72.0	340
Вермишель Makfa яичная длинная	Вермишель Makfa яичная длинная	11.3	2.1	69.6	342
Вермишель Myllyn Paras	Вермишель Myllyn Paras	10.4	1.1	71.5	344
Вермишель SanBonsai из чёрного риса	Вермишель SanBonsai из чёрного риса	7.3	0.9	78.0	349
Вермишель Бефстроганов соевая	Вермишель Бефстроганов соевая	48.9	2.3	8.9	254
Зити	Зити	12.0	1.2	71.0	330
Капеллини	Капеллини	13.0	1.5	70.2	346
Клецки	Клецки	5.0	4.8	25.8	160
Конкильони	Конкильони	10.4	1.1	71.5	344
Лапша Buitoni La Rasagnole Феттучине	Лапша Buitoni La Rasagnole Феттучине	13.5	4.0	69.0	370
Лапша Buitoni Тальятелле Гнезда	Лапша Buitoni Тальятелле Гнезда	13.5	4.0	69.0	370
Лапша Buitoni Феттучине Гнезда	Лапша Buitoni Феттучине Гнезда	11.5	1.9	71.8	350
Лапша SanBonsai гречневая Soba	Лапша SanBonsai гречневая Soba	10.0	0.5	62.0	294
Лапша SanBonsai пшеничная Udon	Лапша SanBonsai пшеничная Udon	12.0	1.0	65.0	358
Лапша SanBonsai яичная Egg	Лапша SanBonsai яичная Egg	9.0	15.0	68.0	440
Лапша ВкусВилл с куркумой	Лапша ВкусВилл с куркумой	10.4	1.1	71.5	334
Лапша гречневая SOBA	Лапша гречневая SOBA	14.7	0.9	70.5	348
Лапша домашняя	Лапша домашняя	12.0	3.7	60.1	322
