Абрикос	0.9	0.1	9.0	44
Абрикос консервированный	Абрикос консервированный	0.4	0.1	15.5	67
Авокадо	Авокадо	2.0	20.0	6.0	212
Айва	Айва	0.6	0.5	9.8	40
Аки	Аки	1.0	15.0	8.0	151
Алыча	Алыча	0.2	0.0	6.9	27
Ананас	Ананас	0.4	0.2	10.6	49
Ананас консервированный	Ананас консервированный	0.1	0.1	14.0	57
Апельсин	Апельсин	0.9	0.2	8.1	36
Апельсин маринованный	Апельсин маринованный	0.6	0.0	8.9	37
Арбуз	Арбуз	0.6	0.1	5.8	25
Арбуз консервированный	Арбуз консервированный	0.5	0.1	9.0	37
Ацерола	Ацерола	0.4	0.3	7.7	32
Банан	Банан	1.5	0.2	21.8	95
Вишня	Вишня	0.8	0.5	11.3	52
Вишня 4 сезона без косточки	Вишня 4 сезона без косточки	0.8	0.2	10.7	50
Вишня Hortex без косточки	Вишня Hortex без косточки	0.9	0.4	9.9	49
Вишня замороженная	Вишня замороженная	0.9	0.4	11.0	46
Вишня консервированная	Вишня консервированная	0.8	0.2	10.6	45
Гранадилла	Гранадилла	0.5	0.1	8.0	46
Гранат	Гранат	0.9	0.0	13.9	52
Грейпфрут	Грейпфрут	0.7	0.2	6.5	29
Груша	Груша	0.4	0.3	10.9	42
Груша консервированная	Груша консервированная	0.2	0.0	15.6	65
Гуава	Гуава	2.6	1.0	8.9	68
Гуава земляничная	Гуава земляничная	0.6	0.6	17.4	69
Гуарана	Гуарана	0.1	0.0	6.5	26
Джекфрут (плод хлебного дерева)	Джекфрут (плод хлебного дерева)	1.4	0.3	22.4	94
Дуриан	Дуриан	1.5	5.3	23.3	147
Дыня	Дыня	0.6	0.3	7.4	33
Дыня медовая	Дыня медовая	0.6	0.3	7.4	33
Жердела	Жердела	0.9	0.2	10.0	46
Звёздное яблоко	Звёздное яблоко	0.5	0.4	15.3	67
Инжир	Инжир	0.7	0.2	13.7	49
Карамбола	Карамбола	1.0	0.0	7.0	31
Кивано	Кивано	1.8	1.3	7.6	44
Киви	Киви	1.0	0.6	10.3	48
Кизил	Кизил	1.0	0.0	10.5	44
Клементин	Клементин	0.9	0.2	10.3	47
Корлан	Корлан	0.7	0.2	18.0	82
Кумкват	Кумкват	1.9	0.9	9.4	71
Лайм	Лайм	0.9	0.1	3.0	16
Лимон	Лимон	0.9	0.1	3.0	16
Лимон маринованный	Лимон маринованный	0.4	0.3	6.5	21
Лимон японский (Юзу)	Лимон японский (Юзу)	0.5	0.1	7.0	21
Личи	Личи	0.8	0.3	14.4	65
Лонган	Лонган	1.3	0.1	14.0	60
Лукума	Лукума	0.1	0.1	7.9	32
Маболо	Маболо	0.5	0.4	15.3	67
Магический фрукт	Магический фрукт	0.0	0.0	7.7	30
Маклюра (Адамово яблоко)	Маклюра (Адамово яблоко)	0.0	0.0	0.0	
Маммея	Маммея	0.5	0.5	9.5	51
Манго	Манго	0.5	0.3	11.5	67
