Мороженое Dove Vanilla	3.8	21.7	30.5	333
Мороженое Nestle Extreme Пломбир с чёрной смородиной	Мороженое Nestle Extreme Пломбир с чёрной смородиной	2.6	12.6	35.5	262
Мороженое Nestle Extreme Тропик	Мороженое Nestle Extreme Тропик	2.4	7.5	39.0	236
Мороженое Nestle Maxibon с печеньем и орехами	Мороженое Nestle Maxibon с печеньем и орехами	3.6	15.0	39.2	307
Мороженое Nestle Maxibon Страчателла	Мороженое Nestle Maxibon Страчателла	3.6	15.0	39.4	307
Мороженое Viva la Crema Грецкий орех	Мороженое Viva la Crema Грецкий орех	4.1	13.0	27.1	245
Мороженое Viva la Crema Лесная ягода	Мороженое Viva la Crema Лесная ягода	3.2	8.2	29.4	205
Мороженое Viva la Crema Персик-маракуйя	Мороженое Viva la Crema Персик-маракуйя	3.3	8.4	29.7	209
Мороженое Viva la Crema Тартюфо	Мороженое Viva la Crema Тартюфо	3.9	13.0	27.7	243
Мороженое Viva la Crema Трюфель	Мороженое Viva la Crema Трюфель	2.5	9.6	27.6	210
Мороженое Viva la Crema Фисташковое	Мороженое Viva la Crema Фисташковое	4.1	13.9	24.6	239
Мороженое Viva la Crema Шварцвальдская вишня	Мороженое Viva la Crema Шварцвальдская вишня	1.7	16.4	29.7	273
Мороженое Инмарко Золотой стандарт пломбир	Мороженое Инмарко Золотой стандарт пломбир	3.9	15.0	20.4	232
Мороженое Инмарко Торжество пломбир натуральные сливки	Мороженое Инмарко Торжество пломбир натуральные сливки	3.9	15.0	20.4	232
Мороженое Инмарко Торжество Птичье молоко	Мороженое Инмарко Торжество Птичье молоко	3.7	12.9	30.0	251
Мороженое Инмарко Торжество с клубничным чизкейком	Мороженое Инмарко Торжество с клубничным чизкейком	3.9	8.3	29.3	208
Мороженое Магнат Брюнетка	Мороженое Магнат Брюнетка	4.3	17.4	29.9	293
Мороженое Магнат Мадагаскар тёмный шоколад	Мороженое Магнат Мадагаскар тёмный шоколад	4.0	18.5	26.1	287
Мороженое Магнат пломбир	Мороженое Магнат пломбир	4.3	20.1	26.7	305
Мороженое молочное	Мороженое молочное	3.2	3.5	21.3	126
Мороженое молочное клубничное	Мороженое молочное клубничное	3.8	2.8	22.2	123
Мороженое молочное крем-брюле	Мороженое молочное крем-брюле	3.5	3.5	23.1	134
Мороженое молочное ореховое	Мороженое молочное ореховое	5.4	6.5	20.1	157
Мороженое молочное шоколадное	Мороженое молочное шоколадное	4.2	3.5	23.0	138
Мороженое пломбир	Мороженое пломбир	3.2	15.0	20.8	227
Мороженое пломбир крем-брюле	Мороженое пломбир крем-брюле	3.0	15.0	23.0	235
Мороженое пломбир ореховый	Мороженое пломбир ореховый	5.2	18.0	19.9	259
Мороженое пломбир шоколадный	Мороженое пломбир шоколадный	3.6	15.0	22.3	236
Мороженое Русский Холодъ Золотой пломбир	Мороженое Русский Холодъ Золотой пломбир	3.8	12.0	20.4	205
Мороженое Русский Холодъ Юбилейное ванильное	Мороженое Русский Холодъ Юбилейное ванильное	3.7	12.0	20.4	204
Мороженое Русский Холодъ Юбилейное эскимо без глазури	Мороженое Русский Холодъ Юбилейное эскимо без глазури	3.7	13.2	20.4	215
Мороженое сливочное	Мороженое сливочное	3.3	10.0	19.8	179
Мороженое сливочное клубничное	Мороженое сливочное клубничное	3.8	8.0	20.9	165
Мороженое сливочное крем-брюле	Мороженое сливочное крем-брюле	3.5	10.0	21.6	186
Мороженое сливочное ореховое	Мороженое сливочное ореховое	5.5	13.0	18.6	210
Мороженое сливочное шоколадное	Мороженое сливочное шоколадное	3.5	10.0	21.5	188
Мороженое Талосто Ля Фам крем-брюле	Мороженое Талосто Ля Фам крем-брюле	4.5	13.7	32.0	262
Мороженое Фифти-фифти Птичье молоко	Мороженое Фифти-фифти Птичье молоко	9.6	10.8	19.4	213
Мороженое Чистая Линия Cемейное пломбир ванильное	Мороженое Чистая Линия Cемейное пломбир ванильное	3.7	12.0	20.5	205
Мороженое Экзо Арбуз и дыня	Мороженое Экзо Арбуз и дыня	1.9	3.9	28.7	166
Мороженое Экзо Черника и ежевика	Мороженое Экзо Черника и ежевика	1.9	3.9	28.7	166
