Колбаса вареная Велком языковая	14.0	17.0	0.0	210
Колбаса вареная диетическая	Колбаса вареная диетическая	12.1	13.5	0.0	170
Колбаса вареная докторская	Колбаса вареная докторская	12.8	22.2	1.5	257
Колбаса вареная Клинский телячья	Колбаса вареная Клинский телячья	13.0	22.0	0.0	252
Колбаса вареная куриная	Колбаса вареная куриная	15.5	16.2	2.3	223
Колбаса вареная любительская	Колбаса вареная любительская	12.2	28.0	0.1	301
Колбаса вареная молочная	Колбаса вареная молочная	11.7	22.8	0.2	252
Колбаса вареная мортаделла	Колбаса вареная мортаделла	16.4	25.3	3.1	331
Колбаса вареная московская	Колбаса вареная московская	11.5	21.8	2.0	250
Колбаса вареная русская	Колбаса вареная русская	11.8	28.9	0.0	302
Колбаса вареная свиная	Колбаса вареная свиная	10.8	25.8	0.5	277
Колбаса вареная столичная	Колбаса вареная столичная	15.1	28.7	0.0	319
Колбаса вареная столовая	Колбаса вареная столовая	11.1	20.2	1.9	234
Колбаса вареная чайная	Колбаса вареная чайная	11.7	18.4	1.9	216
Колбаса варено-копченая Востряково из курицы	Колбаса варено-копченая Востряково из курицы	19.0	11.0	0.0	179
Колбаса варено-копченая куриная жареная	Колбаса варено-копченая куриная жареная	19.7	17.4	1.7	371
Колбаса варено-копченая любительская	Колбаса варено-копченая любительская	17.2	39.0	0.2	420
Колбаса варено-копченая московская	Колбаса варено-копченая московская	19.1	36.6	0.2	406
Колбаса варено-копченая Рублёвский Балыковая	Колбаса варено-копченая Рублёвский Балыковая	12.0	25.0	0.0	270
Колбаса варено-копченая сервелат	Колбаса варено-копченая сервелат	16.1	40.1	0.0	425
Колбаса варено-копченая сервелат боярский	Колбаса варено-копченая сервелат боярский	14.0	21.0	0.0	269
Колбаса варено-копченая сервелат Велком финский	Колбаса варено-копченая сервелат Велком финский	15.0	25.5	0.0	290
Колбаса варено-копченая сервелат Вязанка Столичный	Колбаса варено-копченая сервелат Вязанка Столичный	15.0	27.0	0.0	303
Колбаса варено-копченая сервелат Дымов в вакууме	Колбаса варено-копченая сервелат Дымов в вакууме	14.0	24.0	0.0	272
Колбаса варено-копченая сервелат Дымов Ореховый	Колбаса варено-копченая сервелат Дымов Ореховый	13.0	38.0	0.0	394
Колбаса варено-копченая сервелат Клинский Финский	Колбаса варено-копченая сервелат Клинский Финский	13.0	32.0	0.0	340
Колбаса варено-копченая сервелат Останкино Зернистый	Колбаса варено-копченая сервелат Останкино Зернистый	10.0	37.0	0.0	385
Колбаса варено-копченая сервелат российский	Колбаса варено-копченая сервелат российский	13.0	39.0	1.0	410
Колбаса вегетарианская	Колбаса вегетарианская	21.7	12.3	1.8	207
Колбаса вегетарианская Велком Классическая	Колбаса вегетарианская Велком Классическая	4.0	5.0	9.0	100
Колбаса вегетарианская Велком с грибами	Колбаса вегетарианская Велком с грибами	4.0	5.0	8.0	90
Колбаса вегетарианская горячего копчения Московская Премиум	Колбаса вегетарианская горячего копчения Московская Премиум	20.0	22.0	8.0	210
Колбаса вегетарианская полукопченая Vego с сыром постная	Колбаса вегетарианская полукопченая Vego с сыром постная	19.0	16.0	12.0	270
Колбаса ливерная	Колбаса ливерная	14.4	28.5	2.2	326
Колбаса ливерная Атяшево Печеночная	Колбаса ливерная Атяшево Печеночная	4.0	16.0	11.0	200
