Агар пищевой	4.0	    0.0	    76.0	301
Аджика	Аджика	1.0	    3.7	    5.8    	59
Ажгон	Ажгон	19.7	14.5	11.9	333
Аквафаба нутовая	Аквафаба нутовая	0.4	0.0	0.9	5
Аквафаба сублимированная Гала-Гала	Аквафаба сублимированная Гала-Гала	6.1	0.0	14.0	84
Анис	Анис	17.6	15.9	35.4	337
Асафетида	Асафетида	0.1	0.1	0.1	
Бадьян	Бадьян	18.0	16.0	50.0	337
Базилик свежий	Базилик свежий	2.5	0.6	4.3	27
Базилик сушеный	Базилик сушеный	14.4	4.0	61.0	251
Бахарат	Бахарат	10.9	3.2	38.3	255
Бербере	Бербере	2.0	0.1	11.0	71
Болдо	Болдо	7.6	8.3	48.6	313
Букет гарни	Букет гарни	12.4	6.5	26.0	259
Бульонный кубик	Бульонный кубик	2.0	2.0	4.0	40
Бумбу	Бумбу	1.0	0.8	11.3	61
Валериана	Валериана	0.0	0.0	0.0	
Ванилин	Ванилин	0.1	0.1	12.7	288
Ваниль	Ваниль	1.2	0.1	12.5	287
Ванильная эссенция	Ванильная эссенция	0.1	0.1	12.6	288
Ванильный порошок	Ванильный порошок	1.2	0.1	12.5	287
Винный камень	Винный камень	0.0	0.0	0.0	
Воздушный рис	Воздушный рис	6.3	0.5	89.8	402
Галангал (корень)	Галангал (корень)	1.8	0.7	15.7	80
Галангал сушеный	Галангал сушеный	9.1	5.9	58.3	347
Гарам масала	Гарам масала	15.0	15.0	45.0	379
Гвоздика	Гвоздика	6.0	20.1	27.0	323
Глютен (клейковина пшеничная)	Глютен (клейковина пшеничная)	76.0	0.4	9.0	350
Горчица	Горчица	5.7	6.4	22.0	162
Горчица 365 дней Русская	Горчица 365 дней Русская	7.4	2.0	10.8	91
Горчица белая (английская)	Горчица белая (английская)	37.1	11.1	5.9	271
Горчица дижонская	Горчица дижонская	9.9	12.7	5.3	143
Горчица Махеевъ столовая Русская	Горчица Махеевъ столовая Русская	9.6	10.9	11.0	181
Горчица русская (сарептская)	Горчица русская (сарептская)	8.7	11.0	11.6	185
Горчица чёрная (французская)	Горчица чёрная (французская)	37.1	11.1	5.9	271
