Ангурия (Антильский огурец)	1.8	1.3	7.6	44
Арракача	Арракача	0.9	0.1	17.1	60
Артишок	Артишок	1.2	0.1	6.0	28
Ассорти Бондюэль из сладкого перца	Ассорти Бондюэль из сладкого перца	1.1	0.2	4.8	25
Ассорти Бондюэль из фасоли с ананасами в соусе Карри	Ассорти Бондюэль из фасоли с ананасами в соусе Карри	3.8	1.1	9.3	62
Ассорти Бондюэль из цветной капусты, романеско и брокколи	Ассорти Бондюэль из цветной капусты, романеско и брокколи	1.8	2.7	8.6	66
Баклажан	Баклажан	1.2	0.1	4.5	24
Баклажан белый	Баклажан белый	1.2	0.1	4.6	24
Баклажан замороженный	Баклажан замороженный	1.3	0.1	5.2	27
Баклажан консервированный	Баклажан консервированный	0.9	0.7	7.3	49
Баклажанная икра консервированная	Баклажанная икра консервированная	1.7	13.3	5.1	148
Баклажанная икра свежая	Баклажанная икра свежая	0.6	7.0	6.0	90
Баклажаны 4 сезона запечённые порционные	Баклажаны 4 сезона запечённые порционные	2.1	0.2	8.9	48
Баклажаны 4 сезона нарезанные	Баклажаны 4 сезона нарезанные	1.3	0.1	5.2	27
Бамбук листья	Бамбук листья	2.0	0.0	4.0	32
Бамбук побеги вареные	Бамбук побеги вареные	1.5	0.2	0.9	12
Бамбук побеги консервированные	Бамбук побеги консервированные	1.7	0.4	1.8	19
Бамбук побеги сырые	Бамбук побеги сырые	2.6	0.3	3.0	27
Бамия	Бамия	2.0	0.1	3.8	25
Бамия 4 сезона	Бамия 4 сезона	0.2	0.1	8.0	23
Бедренец камнеломка	Бедренец камнеломка	0.0	0.0	0.0	
Бессмертник	Бессмертник	0.2	0.0	5.0	27
Бобы	Бобы	6.0	0.1	8.5	57
Бобы зелёные	Бобы зелёные	6.0	0.1	10.5	60
Брюква	Брюква	1.2	0.1	7.7	37
Брюква запечённая	Брюква запечённая	2.1	1.6	7.5	51
Брюква тушеная	Брюква тушеная	1.2	8.5	8.6	114
Вигна	Вигна	3.0	0.4	18.8	90
Горох варёный	Горох варёный	6.0	0.0	9.0	60
Горох лущеный	Горох лущеный	23.0	1.6	57.7	323
Горох маш	Горох маш	23.5	2.0	46.0	300
Горох маш (ростки)	Горох маш (ростки)	3.1	0.2	6.0	30
Горох сушёный	Горох сушёный	20.5	2.0	53.3	298
Горошек зелёный	Горошек зелёный	5.0	0.2	13.8	73
Горошек зелёный 4 сезона	Горошек зелёный 4 сезона	5.1	0.2	13.1	75
Горошек зелёный 6 соток	Горошек зелёный 6 соток	3.1	0.0	6.5	38
Горошек зелёный Globus	Горошек зелёный Globus	5.5	0.7	7.4	74
Горошек зелёный Hortex	Горошек зелёный Hortex	6.4	0.4	10.5	83
